latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.07624,-118.56125,296.77,0.68,0.74,2025-01-01,0839,N20,VIIRS,n,2,274.64,3,N,0
34.07591,-118.55034,319.63,0.68,0.74,2025-01-01,0839,N20,VIIRS,n,2,278.35,4.66,N,0
34.43014,-118.64384,296.84,0.61,0.53,2025-01-01,1020,N20,VIIRS,n,2,275.87,0.51,N,2
34.43223,-118.64455,295.71,0.61,0.53,2025-01-01,1020,N20,VIIRS,n,2,275.46,1.01,N,2
34.33534,-118.52039,297.11,0.62,0.54,2025-01-01,1020,N20,VIIRS,n,2,280.16,1.05,N,2
34.24323,-118.38203,295.02,0.32,0.54,2025-01-01,1020,N20,VIIRS,n,2,275.53,0.22,N,2
34.15556,-118.19455,304.72,0.33,0.55,2025-01-01,1020,N20,VIIRS,n,2,278.04,0.37,N,2
34.29238,-118.80295,296.8,0.6,0.53,2025-01-01,1020,N20,VIIRS,n,2,275.93,1.1,N,2
34.07759,-118.54636,332.77,0.63,0.54,2025-01-01,1020,N20,VIIRS,n,2,285.06,4.14,N,0
34.0726,-118.54732,337.85,0.63,0.54,2025-01-01,1020,N20,VIIRS,n,2,285.94,11.15,N,0
34.07593,-118.54524,353.79,0.63,0.54,2025-01-01,1020,N20,VIIRS,n,2,289.12,19.5,N,0
33.7939,-117.47572,299.41,0.37,0.58,2025-01-01,1020,N20,VIIRS,n,2,278.21,0.5,N,2
34.61027,-117.33833,309.62,0.39,0.44,2025-01-02,1001,N20,VIIRS,n,2,273.92,2.03,N,2
34.42925,-118.64488,301.21,0.52,0.41,2025-01-02,1001,N20,VIIRS,n,2,272.79,0.91,N,2
34.33742,-118.52102,300.16,0.52,0.42,2025-01-02,1001,N20,VIIRS,n,2,279.12,1.04,N,2
34.29113,-118.80155,303.89,0.51,0.41,2025-01-02,1001,N20,VIIRS,n,2,272.98,1.28,N,2
34.15281,-118.19603,307.09,0.55,0.42,2025-01-02,1001,N20,VIIRS,n,2,278.86,1.22,N,2
33.79455,-117.47767,302.09,0.4,0.44,2025-01-02,1001,N20,VIIRS,n,2,277.81,0.55,N,2
33.85412,-118.33364,302.01,0.55,0.42,2025-01-02,1001,N20,VIIRS,n,2,287.12,1.81,N,2
33.71675,-117.71165,301.41,0.39,0.44,2025-01-02,1001,N20,VIIRS,n,2,278.77,0.72,N,2
33.61494,-117.82113,304.75,0.39,0.44,2025-01-02,1001,N20,VIIRS,n,2,280.1,0.47,N,2
33.49311,-117.6188,303.69,0.4,0.44,2025-01-02,1001,N20,VIIRS,n,2,279.8,0.7,N,2
34.43059,-118.64639,299.72,0.38,0.36,2025-01-03,0942,N20,VIIRS,n,2,268.01,0.48,N,2
34.33565,-118.52114,299.29,0.38,0.36,2025-01-03,0942,N20,VIIRS,n,2,268.24,0.6,N,2
